Date,Date Processed,Description,Card Member,Account #,Amount,Foreign Spend Amount,Commission,Exchange Rate,Additional Information,Appears On Your Statement As,Address,Town/City,Postcode,Country,Reference
07/05/2026,07/05/2026,ONLINE PAYMENT RECEIVED - THANKYOU W8295,K VIVEKANANDA,-61003,-1500.00,,,,,THANKYOU,K VIVEKANANDA,,,,
26/04/2026,26/04/2026,AMAZON MARKETPLACE AU SYDNEY,K VIVEKANANDA,-61003,90.00,,,,,AMAZON MARKETPLACE AU SYDNEY,2 PARK STREET LEVEL 37,SYDNEY NSW,2000,AUSTRALIA,AT261160004000010374148
24/04/2026,25/04/2026,RIBS AND BURGERS RANDWICK,K VIVEKANANDA,-61003,22.54,,,,,RIBS AND BURGERS RANDWICK,162 164 BARKER STREET SHOP G11,RANDWICK NSW,2031,AUSTRALIA,AT261150004000010472200
